kod obce,jmeno obce,pocet volicu,vydane obalky,platne hlasy,REALISTÉ,Dělnic.str.sociální spravedl.,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,ANO 2011,Česká strana národně sociální,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Strana Práv Občanů,Blok proti islam.-Obran.domova,STAROSTOVÉ A NEZÁVISLÍ,Občanská demokratická strana,SPR-Republ.str.Čsl. M.Sládka,SPORTOVCI,Křesť.demokr.unie-Čs.str.lid.,Radostné Česko,TOP 09,Česká str.sociálně demokrat.,Komunistická str.Čech a Moravy,Strana zelených,Dobrá volba 2016,Česká pirátská strana,Referendum o Evropské unii,Řád národa - Vlastenecká unie,Občanská demokratická aliance,Svob.a př.dem.-T.Okamura (SPD)
506761,Alojzov,431,279,275,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589268,Bedihošť,238,132,131,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589276,Bílovice-Lutotín,376,236,236,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589284,Biskupice,107,67,67,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589292,Bohuslavice,695,460,460,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589306,Bousín,1224,656,655,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589314,Brodek u Konice,178,111,111,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589322,Brodek u Prostějova,331,208,206,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589331,Březsko,264,170,169,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589349,Budětsko,426,281,280,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589357,Buková,814,512,512,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589365,Čehovice,437,272,272,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589381,Čechy pod Kosířem,1063,649,642,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589390,Čelčice,427,284,281,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589403,Čelechovice na Hané,270,172,170,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589420,Dětkovice,629,308,308,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589438,Dobrochov,459,244,244,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589446,Dobromilice,443,290,287,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589454,Doloplazy,1139,748,742,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589462,Drahany,380,220,219,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
558419,Držovice,209,133,133,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589489,Dřevnovice,83,67,65,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589497,Dzbel,292,174,173,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
549967,Hačky,749,454,452,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589501,Hluchov,326,196,194,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589519,Horní Štěpánov,178,109,109,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589527,Hradčany-Kobeřice,617,376,374,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589535,Hrdibořice,191,90,88,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589543,Hrubčice,524,340,336,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
543543,Hruška,390,238,237,0,1,1,1,32,0,0,0,0,5,29,0,1,6,0,5,9,17,4,0,18,0,0,0,15
589560,Hvozd,246,139,139,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589578,Ivaň,289,140,140,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589586,Jesenec,654,355,354,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589594,Kladky,238,165,165,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589608,Klenovice na Hané,2285,1393,1358,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589616,Klopotovice,2302,1334,1323,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589624,Konice,232,152,151,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589632,Kostelec na Hané,1257,807,804,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589641,Koválovice-Osíčany,465,284,284,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589659,Kralice na Hané,487,335,334,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589667,Krumsín,320,196,194,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589675,Laškov,615,450,449,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589683,Lešany,480,239,239,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589691,Lipová,309,185,185,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
589705,Ludmírov,422,226,223,0,0,2,14,140,0,0,1,1,13,51,0,0,26,1,6,28,123,2,0,34,0,0,0,82
